id,name,status,candidates,best_score,best_source
0576571c-aa6c-4d55-9f83-39ad11d50442,Axum Stelae Artisans Market,review,10,0.6,wikimedia
0601c42b-9a91-41fe-a460-4708f4d35127,Gura Dhamole Rural Belt,failed,0,,
065fbdd8-f6fe-4fd6-ade7-38b70500f4f3,Jinka Saturday Tribal Market,review,5,0.8,wikimedia
0621462d-39b6-421d-93c2-36425fc9ba8c,Gotera & Sarbet Metropolitan Belts,failed,0,,
06546a02-bb0a-491b-8fa5-4c3ecb590753,Marriott Executive Apartments Sauna & Wellness,failed,6,,
06e8bf00-f0ca-4393-b9a2-c04eb25fb2bc,Grand Royal Hotel Conference Center,failed,4,,
06692b34-d8e7-4a29-bf58-74a899324989,Mekelle Relief & Rehabilitation Projects,review,8,0.6,wikimedia
06929243-25f5-4b7f-818e-6770c4fd6500,Gofa Cultural Highlands,review,7,0.6,wikimedia
06f3b178-5219-4a8e-b9b5-be91e7219175,Mount Chilalo Stargazing Ridge,failed,2,,
06f6cccf-3b0c-4514-aac1-11d5c4531468,Wolayta Sodo Cultural Handicrafts Center,failed,0,,
