id,name,type,region,city,matched_on,status
"00620588-4ca4-48fa-90d5-3eba0e18392b","Erta Ale Active Volcano Lava Hazards Field","city_only","Afar","Dallol","erta-ale","RESOLVED"
"007b0123-edb6-4112-8470-9c97d02e180a","Mount Belaya Wilderness Trek","both","Benishangul-Gumuz","Assosa","mount belaya","RESOLVED"
"0113fde5-2ea6-4aeb-965d-64901480d8c0","Jinka Urban Hub","both","South Ethiopia Regional State","Jinka","omo valley","RESOLVED"
"0172040d-afdc-49d2-a38e-f7c51cb36544","Assosa Bamboo & Mango Farms","both","Benishangul-Gumuz","Assosa","assosa","RESOLVED"
"022c139e-027b-4c2b-b90f-103bdcf0f824","Menz Guassa High-Altitude Pastoral Communities","city_only","Amhara","North Shewa","guassa","RESOLVED"
"0255ec62-2fd1-40be-ac57-209276df35e9","Massacre Memorial of Wondo Genet","both","Sidama","Wondo Genet","wondo genet","RESOLVED"
"02c8223e-334d-47e5-b354-7fca28aada4f","Sheka Forest Biosphere Reserve","both","South West Ethiopia Peoples","Masha","sheka","RESOLVED"
"032ca2c4-2e8c-4a0f-9b3e-0df565405328","Battlefield of Dogali Memorial Monument","both","Amhara","Dessie","dogali","RESOLVED"
"037f40de-3fe9-4a23-9b9e-bf17b49de895","Bebeka Coffee Estate","both","South West Ethiopia Peoples","Mizan Aman","bebeka","RESOLVED"
"0383471e-05bb-422a-872c-430f3ecf90b0","Bob Marley Statue & Imperial Square","both","Addis Ababa","Kirkos","imperial square","RESOLVED"
"039c265c-7824-4623-8e6a-455de2877896","Grand Palace Hotel Meeting Rooms","both","Addis Ababa","Kirkos","grand palace hotel","RESOLVED"
"03b49d09-289b-46f3-a0a6-911ce7e8b65c","Chebera Churchura National Park","city_only","South West Ethiopia Peoples","Bonga","chebera-churchura","RESOLVED"
"03fdc7fc-8467-46cf-a763-6e088fde3e14","Dembel City Center Ramp Outlets","both","Addis Ababa","Kirkos","dembel city","RESOLVED"
"03fee98a-a4f1-406e-ac0b-2db9aa5a2915","Mizan Teferi Agro-Forestry Training Projects","both","South West Ethiopia Peoples","Mizan Aman","mizan teferi","RESOLVED"
"04c8c45f-4738-457f-bf20-218105ff3170","Kambaata Highland Agriculture Terraces","city_only","Central Ethiopia Regional State","Durame","kambaata","RESOLVED"
"055d7202-aec8-4194-afdf-f775c86e4cd5","Harari Rural Farming Outskirts","both","Harar","Harar","harari","RESOLVED"
"0601c42b-9a91-41fe-a460-4708f4d35127","Gura Dhamole Rural Belt","both","Oromia","Bale","gura dhamole","RESOLVED"
"0621462d-39b6-421d-93c2-36425fc9ba8c","Gotera & Sarbet Metropolitan Belts","both","Addis Ababa","Kirkos","gotera","RESOLVED"
"06692b34-d8e7-4a29-bf58-74a899324989","Mekelle Relief & Rehabilitation Projects","both","Tigray","Mek'elē","mekelle","RESOLVED"
"06929243-25f5-4b7f-818e-6770c4fd6500","Gofa Cultural Highlands","both","South Ethiopia Regional State","Sawla","sawla","RESOLVED"
"06e8bf00-f0ca-4393-b9a2-c04eb25fb2bc","Grand Royal Hotel Conference Center","both","Oromia","Bishoftu","grand royal hotel","RESOLVED"
"0719dd1e-6986-49b7-b092-400e2548dfc5","Inter Luxury Hotel Conference Suites","both","Addis Ababa","Kirkos","inter luxury","RESOLVED"
"07384a8f-5e47-43e5-af76-0ed738a4f7f6","Kenenisa Hotel & High-Altitude Sports Complex","both","Oromia","Bekoji","kenenisa","RESOLVED"
"07732b82-a311-40cc-b641-f0118bb25bce","Raya Azebo Farming Communities","city_only","Afar","Semera","raya-azebo","RESOLVED"
"079c543b-0632-403a-a752-7f7b63cd0037","Awi Agew Honey Wine Houses","both","Amhara","Injibara","agew","RESOLVED"
"07e3c3e0-9588-41e5-a2b6-5865142da6e2","Debre Marqos Cathedral","both","Amhara","Debre Markos","debre marqos","RESOLVED"
"08e88666-1276-403b-972c-a82a3cedd23e","Dallol Sulfur Springs","city_only","Afar","Dallol","dallol","RESOLVED"
"098a3ef4-e0f9-4680-a0a3-531cd2363b7c","Sor River Canopy (Rainforest Avifauna)","both","Oromia","Metu","sor river","RESOLVED"
"09cf80ad-8f11-4213-860c-c391cac7c1e4","Guji Gold & Pastoralist Villages","both","Oromia","Shakiso","guji","RESOLVED"
"0a20e07d-73dd-4284-ae5b-b631cc2cc559","Halala Kella Lodge Retreat & Spa","both","South Ethiopia Regional State","Kindo Koysha","halala kella","RESOLVED"
"0a2a2811-9f5b-4f9a-8074-5e180fd06d45","Dek Island Ferry Terminal","city_only","Amhara","Bahir Dar Special Zone","lake-tana","RESOLVED"
"0a56edc3-e173-4766-863d-d602923659eb","Abebe Bikila Stadium Accessible Seating Gate","both","Addis Ababa","Addis Ketema","abebe bikila stadium","RESOLVED"
"0a85ecd4-5c50-4860-b012-f6780d7ed2d3","Omo National Park (Big Game Safari)","both","South Ethiopia Regional State","Jinka","omo national","RESOLVED"
"0b323a29-7996-4f3d-b524-51210f902bdd","Youth & Sports Academy Complex","both","Addis Ababa","Addis Ketema","youth & sports academy","RESOLVED"
"0bb81add-f212-4fa1-a84c-03ac54cb7b4e","Gura Dhamole Desert Night Sky Encampment","both","Oromia","Bale","gura dhamole","RESOLVED"
"0beb83f4-243e-4161-8657-8f7ce8b4d268","Babile Elephant Sanctuary Bush Trekking","both","Harar","Harar","hararghe","RESOLVED"
"0bfc7ee8-ddd1-4b35-baa9-543a2a227862","Loleha High-End Eco-Lodge","both","Oromia","Wenchi","wenchi crater","RESOLVED"
"0c0a0214-76e4-480e-8291-7d97965501da","Tekeze Dam Lake Boating & Fishing Dock","both","Amhara","Tekeze","tekeze","RESOLVED"
"0c0f9ce0-6896-4e41-a1fa-d5e3c229b28a","Gerbi Natural Hot Springs","city_only","Oromia","Bishoftu","gerbi","RESOLVED"
